design_A_id,design_A,design_B_id,design_B,mean_A,mean_B,delta_A_minus_B,se_delta,df,t_crit,half_width_bonferroni,ci_lower,ci_upper,alpha_overall,alpha_per_ci,ci_level_pct,n_batches,n_A_batches,n_B_batches,method,result,direction,better_design_id,better_design,interpretation
D1,15 slots | S3 - Bailey-Welch,D7,15 slots | S2 - FCFS,0.41274708,0.42106749,-0.00832041,0.00046923,59,3.17517033,0.00148988,-0.00981029,-0.00683053,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D1,15 slots | S3 - Bailey-Welch,15 slots | S3 - Bailey-Welch is significantly better than 15 slots | S2 - FCFS
D2,15 slots | S3 - Benchmarking,D7,15 slots | S2 - FCFS,0.41384896,0.42106749,-0.00721853,0.00049438,59,3.17517033,0.00156974,-0.00878828,-0.00564879,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D2,15 slots | S3 - Benchmarking,15 slots | S3 - Benchmarking is significantly better than 15 slots | S2 - FCFS
D1,15 slots | S3 - Bailey-Welch,D6,15 slots | S2 - Benchmarking,0.41274708,0.41976591,-0.00701882,0.00048190,59,3.17517033,0.00153010,-0.00854892,-0.00548872,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D1,15 slots | S3 - Bailey-Welch,15 slots | S3 - Bailey-Welch is significantly better than 15 slots | S2 - Benchmarking
D2,15 slots | S3 - Benchmarking,D6,15 slots | S2 - Benchmarking,0.41384896,0.41976591,-0.00591695,0.00050040,59,3.17517033,0.00158887,-0.00750582,-0.00432808,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D2,15 slots | S3 - Benchmarking,15 slots | S3 - Benchmarking is significantly better than 15 slots | S2 - Benchmarking
D3,15 slots | S3 - FCFS,D7,15 slots | S2 - FCFS,0.41522034,0.42106749,-0.00584715,0.00049279,59,3.17517033,0.00156471,-0.00741186,-0.00428245,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D3,15 slots | S3 - FCFS,15 slots | S3 - FCFS is significantly better than 15 slots | S2 - FCFS
D1,15 slots | S3 - Bailey-Welch,D5,15 slots | S2 - Bailey-Welch,0.41274708,0.41824446,-0.00549738,0.00046371,59,3.17517033,0.00147236,-0.00696973,-0.00402502,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D1,15 slots | S3 - Bailey-Welch,15 slots | S3 - Bailey-Welch is significantly better than 15 slots | S2 - Bailey-Welch
D1,15 slots | S3 - Bailey-Welch,D4,15 slots | S3 - Blocking,0.41274708,0.41729871,-0.00455162,0.00008873,59,3.17517033,0.00028173,-0.00483336,-0.00426989,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D1,15 slots | S3 - Bailey-Welch,15 slots | S3 - Bailey-Welch is significantly better than 15 slots | S3 - Blocking
D3,15 slots | S3 - FCFS,D6,15 slots | S2 - Benchmarking,0.41522034,0.41976591,-0.00454557,0.00050607,59,3.17517033,0.00160687,-0.00615244,-0.00293870,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D3,15 slots | S3 - FCFS,15 slots | S3 - FCFS is significantly better than 15 slots | S2 - Benchmarking
D2,15 slots | S3 - Benchmarking,D5,15 slots | S2 - Bailey-Welch,0.41384896,0.41824446,-0.00439550,0.00049632,59,3.17517033,0.00157590,-0.00597140,-0.00281961,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D2,15 slots | S3 - Benchmarking,15 slots | S3 - Benchmarking is significantly better than 15 slots | S2 - Bailey-Welch
D4,15 slots | S3 - Blocking,D7,15 slots | S2 - FCFS,0.41729871,0.42106749,-0.00376878,0.00048660,59,3.17517033,0.00154503,-0.00531382,-0.00222375,0.05000000,0.00238095,99.76190476,60,60,60,paired batch differences,A significantly better,first_better,D4,15 slots | S3 - Blocking,15 slots | S3 - Blocking is significantly better than 15 slots | S2 - FCFS
