strategy,rule,OV_mean,slot_cluster,rank,label,is_best,is_worst
2,2,0.399826,Low (10-14),1,S2 - Bailey-Welch,True,False
2,4,0.401011,Low (10-14),2,S2 - Benchmarking,False,False
2,1,0.402292,Low (10-14),3,S2 - FCFS,False,False
3,2,0.410299,Low (10-14),4,S3 - Bailey-Welch,False,False
2,3,0.410312,Low (10-14),5,S2 - Blocking,False,False
3,4,0.411937,Low (10-14),6,S3 - Benchmarking,False,False
3,1,0.413202,Low (10-14),7,S3 - FCFS,False,False
3,3,0.415177,Low (10-14),8,S3 - Blocking,False,False
1,2,0.446305,Low (10-14),9,S1 - Bailey-Welch,False,False
1,4,0.449015,Low (10-14),10,S1 - Benchmarking,False,False
1,1,0.450382,Low (10-14),11,S1 - FCFS,False,False
1,3,0.455320,Low (10-14),12,S1 - Blocking,False,True
3,2,0.467929,Medium (15-17),1,S3 - Bailey-Welch,True,False
3,4,0.469237,Medium (15-17),2,S3 - Benchmarking,False,False
3,1,0.470619,Medium (15-17),3,S3 - FCFS,False,False
3,3,0.472658,Medium (15-17),4,S3 - Blocking,False,False
2,2,0.479069,Medium (15-17),5,S2 - Bailey-Welch,False,False
2,4,0.480613,Medium (15-17),6,S2 - Benchmarking,False,False
2,1,0.481914,Medium (15-17),7,S2 - FCFS,False,False
2,3,0.494806,Medium (15-17),8,S2 - Blocking,False,False
1,2,0.526251,Medium (15-17),9,S1 - Bailey-Welch,False,False
1,4,0.529188,Medium (15-17),10,S1 - Benchmarking,False,False
1,1,0.530605,Medium (15-17),11,S1 - FCFS,False,False
1,3,0.532891,Medium (15-17),12,S1 - Blocking,False,True
3,2,9.097953,High (18-20),1,S3 - Bailey-Welch,True,False
3,4,9.098577,High (18-20),2,S3 - Benchmarking,False,False
3,1,9.100440,High (18-20),3,S3 - FCFS,False,False
3,3,9.103290,High (18-20),4,S3 - Blocking,False,False
2,2,9.106407,High (18-20),5,S2 - Bailey-Welch,False,False
2,4,9.108932,High (18-20),6,S2 - Benchmarking,False,False
2,1,9.110668,High (18-20),7,S2 - FCFS,False,False
2,3,9.127331,High (18-20),8,S2 - Blocking,False,False
1,2,9.167722,High (18-20),9,S1 - Bailey-Welch,False,False
1,4,9.169394,High (18-20),10,S1 - Benchmarking,False,False
1,1,9.171341,High (18-20),11,S1 - FCFS,False,False
1,3,9.175139,High (18-20),12,S1 - Blocking,False,True
