urgent_slots,strategy,rule,rule_name,slot_cluster,label,OV_mean,OV_hw,delta_OV,hw_delta_OV,sig_OV,slot_cluster_ord
10,1,1,FCFS,Low (10-14),S1 - FCFS,0.457612,0.003064,0.007227,0.008022,False,Low (10-14)
10,1,2,Bailey-Welch,Low (10-14),S1 - Bailey-Welch,0.453427,0.003044,0.003041,0.008015,False,Low (10-14)
10,1,3,Blocking,Low (10-14),S1 - Blocking,0.465532,0.003103,0.015147,0.008037,True,Low (10-14)
10,1,4,Benchmarking,Low (10-14),S1 - Benchmarking,0.456229,0.003065,0.005843,0.008022,False,Low (10-14)
10,2,1,FCFS,Low (10-14),S2 - FCFS,0.409643,0.002959,-0.040743,0.007982,True,Low (10-14)
10,2,2,Bailey-Welch,Low (10-14),S2 - Bailey-Welch,0.407306,0.002996,-0.043080,0.007997,True,Low (10-14)
10,2,3,Blocking,Low (10-14),S2 - Blocking,0.413288,0.002967,-0.037097,0.007986,True,Low (10-14)
10,2,4,Benchmarking,Low (10-14),S2 - Benchmarking,0.408346,0.002971,-0.042040,0.007987,True,Low (10-14)
10,3,1,FCFS,Low (10-14),S3 - FCFS,0.428043,0.002924,-0.022342,0.007970,True,Low (10-14)
10,3,2,Bailey-Welch,Low (10-14),S3 - Bailey-Welch,0.424479,0.002928,-0.025906,0.007971,True,Low (10-14)
10,3,3,Blocking,Low (10-14),S3 - Blocking,0.429929,0.002964,-0.020456,0.007984,True,Low (10-14)
10,3,4,Benchmarking,Low (10-14),S3 - Benchmarking,0.426761,0.002940,-0.023624,0.007976,True,Low (10-14)
11,1,1,FCFS,Low (10-14),S1 - FCFS,0.450042,0.003526,-0.000343,0.008210,False,Low (10-14)
11,1,2,Bailey-Welch,Low (10-14),S1 - Bailey-Welch,0.445919,0.003505,-0.004467,0.008201,False,Low (10-14)
11,1,3,Blocking,Low (10-14),S1 - Blocking,0.456303,0.003537,0.005917,0.008215,False,Low (10-14)
11,1,4,Benchmarking,Low (10-14),S1 - Benchmarking,0.448658,0.003534,-0.001727,0.008213,False,Low (10-14)
11,2,1,FCFS,Low (10-14),S2 - FCFS,0.402004,0.003420,-0.048381,0.008165,True,Low (10-14)
11,2,2,Bailey-Welch,Low (10-14),S2 - Bailey-Welch,0.399563,0.003446,-0.050823,0.008176,True,Low (10-14)
11,2,3,Blocking,Low (10-14),S2 - Blocking,0.407790,0.003427,-0.042595,0.008168,True,Low (10-14)
11,2,4,Benchmarking,Low (10-14),S2 - Benchmarking,0.400711,0.003430,-0.049674,0.008169,True,Low (10-14)
11,3,1,FCFS,Low (10-14),S3 - FCFS,0.417164,0.003502,-0.033222,0.008199,True,Low (10-14)
11,3,2,Bailey-Welch,Low (10-14),S3 - Bailey-Welch,0.413923,0.003513,-0.036462,0.008204,True,Low (10-14)
11,3,3,Blocking,Low (10-14),S3 - Blocking,0.419128,0.003546,-0.031258,0.008218,True,Low (10-14)
11,3,4,Benchmarking,Low (10-14),S3 - Benchmarking,0.415892,0.003520,-0.034493,0.008207,True,Low (10-14)
12,1,1,FCFS,Low (10-14),S1 - FCFS,0.447071,0.004354,-0.003314,0.008598,False,Low (10-14)
12,1,2,Bailey-Welch,Low (10-14),S1 - Bailey-Welch,0.442901,0.004338,-0.007485,0.008590,False,Low (10-14)
