SECTION,Factorial Results — mean and 95% CI per KPI
urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elScanWT_mean,urScanWT_mean,OT_mean,OV_mean,elAppWT_hw,elScanWT_hw,urScanWT_hw,OT_hw,OV_hw,elAppWT_lower,elScanWT_lower,urScanWT_lower,OT_lower,OV_lower,elAppWT_upper,elScanWT_upper,urScanWT_upper,OT_upper,OV_upper
10,1,1,FCFS,58,14.222599,0.080576,3.356585,0.846148,0.457612,0.393707,0.000534,0.015020,0.013543,0.003064,13.828892,0.080042,3.341565,0.832605,0.454548,14.616306,0.081110,3.371605,0.859691,0.460676
10,1,2,Bailey-Welch,58,14.862311,0.170286,3.284647,0.796345,0.453427,0.392967,0.000918,0.014932,0.013520,0.003044,14.469344,0.169368,3.269715,0.782825,0.450382,15.255278,0.171204,3.299578,0.809865,0.456471
10,1,3,Blocking,58,14.843837,0.184076,3.394584,0.837573,0.465532,0.397159,0.000652,0.015081,0.013566,0.003103,14.446678,0.183424,3.379504,0.824007,0.462429,15.240997,0.184728,3.409665,0.851139,0.468635
10,1,4,Benchmarking,58,14.288109,0.081331,3.340623,0.836328,0.456229,0.394743,0.000541,0.015015,0.013535,0.003065,13.893366,0.080791,3.325608,0.822793,0.453164,14.682852,0.081872,3.355637,0.849864,0.459293
10,2,1,FCFS,58,13.778875,0.080659,2.948630,1.158049,0.409643,0.386783,0.000546,0.014058,0.013455,0.002959,13.392092,0.080113,2.934571,1.144594,0.406684,14.165657,0.081205,2.962688,1.171504,0.412601
10,2,2,Bailey-Welch,58,14.407250,0.187584,2.893934,1.110157,0.407306,0.392261,0.000882,0.014138,0.013508,0.002996,14.014989,0.186702,2.879795,1.096649,0.404309,14.799510,0.188466,2.908072,1.123666,0.410302
10,2,3,Blocking,58,14.397259,0.184028,2.948310,1.146772,0.413288,0.387217,0.000592,0.014087,0.013523,0.002967,14.010042,0.183436,2.934224,1.133249,0.410321,14.784476,0.184620,2.962397,1.160295,0.416255
10,2,4,Benchmarking,58,13.843217,0.082103,2.933510,1.146224,0.408346,0.389364,0.000529,0.014048,0.013451,0.002971,13.453853,0.081573,2.919462,1.132774,0.405375,14.232581,0.082632,2.947558,1.159675,0.411317
10,3,1,FCFS,58,13.578707,0.074325,3.124959,1.275130,0.428043,0.388975,0.000515,0.012802,0.012424,0.002924,13.189731,0.073810,3.112157,1.262705,0.425119,13.967682,0.074840,3.137761,1.287554,0.430968
10,3,2,Bailey-Welch,58,14.194255,0.150501,3.059907,1.213010,0.424479,0.391665,0.000801,0.012696,0.012520,0.002928,13.802590,0.149700,3.047211,1.200490,0.421551,14.585920,0.151303,3.072603,1.225529,0.427408
10,3,3,Blocking,58,14.133094,0.177127,3.112235,1.265249,0.429929,0.394166,0.000565,0.012881,0.012477,0.002964,13.738929,0.176563,3.099354,1.252772,0.426966,14.527260,0.177692,3.125115,1.277726,0.432893
10,3,4,Benchmarking,58,13.643310,0.075407,3.109958,1.263224,0.426761,0.391993,0.000512,0.012816,0.012457,0.002940,13.251316,0.074895,3.097142,1.250767,0.423821,14.035303,0.075919,3.122774,1.275682,0.429701
11,1,1,FCFS,58,15.407488,0.081224,3.224979,0.834463,0.450042,0.493017,0.000530,0.014514,0.013478,0.003526,14.914471,0.080693,3.210465,0.820986,0.446516,15.900505,0.081754,3.239493,0.847941,0.453568
11,1,2,Bailey-Welch,58,16.052276,0.171977,3.153325,0.784568,0.445919,0.493623,0.000930,0.014358,0.013466,0.003505,15.558653,0.171047,3.138967,0.771101,0.442413,16.545900,0.172907,3.167683,0.798034,0.449424
