urgent_slots,strategy,rule,rule_name,n_batches,elAppWT_mean,elAppWT_hw,elAppWT_lower,elAppWT_upper,elScanWT_mean,elScanWT_hw,elScanWT_lower,elScanWT_upper,urScanWT_mean,urScanWT_hw,urScanWT_lower,urScanWT_upper,OT_mean,OT_hw,OT_lower,OT_upper,OV_mean,OV_hw,OV_lower,OV_upper
10,1,1,FCFS,58,14.222599,0.393707,13.828892,14.616306,0.080576,0.000534,0.080042,0.081110,3.356585,0.015020,3.341565,3.371605,0.846148,0.013543,0.832605,0.859691,0.457612,0.003064,0.454548,0.460676
10,1,2,Bailey-Welch,58,14.862311,0.392967,14.469344,15.255278,0.170286,0.000918,0.169368,0.171204,3.284647,0.014932,3.269715,3.299578,0.796345,0.013520,0.782825,0.809865,0.453427,0.003044,0.450382,0.456471
10,1,3,Blocking,58,14.843837,0.397159,14.446678,15.240997,0.184076,0.000652,0.183424,0.184728,3.394584,0.015081,3.379504,3.409665,0.837573,0.013566,0.824007,0.851139,0.465532,0.003103,0.462429,0.468635
10,1,4,Benchmarking,58,14.288109,0.394743,13.893366,14.682852,0.081331,0.000541,0.080791,0.081872,3.340623,0.015015,3.325608,3.355637,0.836328,0.013535,0.822793,0.849864,0.456229,0.003065,0.453164,0.459293
10,2,1,FCFS,58,13.778875,0.386783,13.392092,14.165657,0.080659,0.000546,0.080113,0.081205,2.948630,0.014058,2.934571,2.962688,1.158049,0.013455,1.144594,1.171504,0.409643,0.002959,0.406684,0.412601
10,2,2,Bailey-Welch,58,14.407250,0.392261,14.014989,14.799510,0.187584,0.000882,0.186702,0.188466,2.893934,0.014138,2.879795,2.908072,1.110157,0.013508,1.096649,1.123666,0.407306,0.002996,0.404309,0.410302
10,2,3,Blocking,58,14.397259,0.387217,14.010042,14.784476,0.184028,0.000592,0.183436,0.184620,2.948310,0.014087,2.934224,2.962397,1.146772,0.013523,1.133249,1.160295,0.413288,0.002967,0.410321,0.416255
10,2,4,Benchmarking,58,13.843217,0.389364,13.453853,14.232581,0.082103,0.000529,0.081573,0.082632,2.933510,0.014048,2.919462,2.947558,1.146224,0.013451,1.132774,1.159675,0.408346,0.002971,0.405375,0.411317
10,3,1,FCFS,58,13.578707,0.388975,13.189731,13.967682,0.074325,0.000515,0.073810,0.074840,3.124959,0.012802,3.112157,3.137761,1.275130,0.012424,1.262705,1.287554,0.428043,0.002924,0.425119,0.430968
10,3,2,Bailey-Welch,58,14.194255,0.391665,13.802590,14.585920,0.150501,0.000801,0.149700,0.151303,3.059907,0.012696,3.047211,3.072603,1.213010,0.012520,1.200490,1.225529,0.424479,0.002928,0.421551,0.427408
