file,strategy,urgent_slots_total,Mon,Tue,Wed,Thu,Fri,Sat
input-S1-10.txt,S1,10,2,2,2,1,2,1
input-S1-11.txt,S1,11,3,2,2,1,2,1
input-S1-12.txt,S1,12,3,3,2,1,2,1
input-S1-13.txt,S1,13,3,3,3,1,2,1
input-S1-14.txt,S1,14,3,3,3,1,3,1
input-S1-15.txt,S1,15,3,3,3,2,3,1
input-S1-16.txt,S1,16,3,3,3,2,3,2
input-S1-17.txt,S1,17,4,3,3,2,3,2
input-S1-18.txt,S1,18,4,4,3,2,3,2
input-S1-19.txt,S1,19,4,4,4,2,3,2
input-S1-20.txt,S1,20,4,4,4,2,4,2
input-S2-10.txt,S2,10,2,2,2,1,2,1
input-S2-11.txt,S2,11,3,2,2,1,2,1
input-S2-12.txt,S2,12,3,3,2,1,2,1
input-S2-13.txt,S2,13,3,3,3,1,2,1
input-S2-14.txt,S2,14,3,3,3,1,3,1
input-S2-15.txt,S2,15,3,3,3,2,3,1
input-S2-16.txt,S2,16,3,3,3,2,3,2
input-S2-17.txt,S2,17,4,3,3,2,3,2
input-S2-18.txt,S2,18,4,4,3,2,3,2
input-S2-19.txt,S2,19,4,4,4,2,3,2
input-S2-20.txt,S2,20,4,4,4,2,4,2
input-S3-10.txt,S3,10,2,2,2,1,2,1
input-S3-11.txt,S3,11,3,2,2,1,2,1
input-S3-12.txt,S3,12,3,3,2,1,2,1
input-S3-13.txt,S3,13,3,3,3,1,2,1
input-S3-14.txt,S3,14,3,3,3,1,3,1
input-S3-15.txt,S3,15,3,3,3,2,3,1
input-S3-16.txt,S3,16,3,3,3,2,3,2
input-S3-17.txt,S3,17,4,3,3,2,3,2
input-S3-18.txt,S3,18,4,4,3,2,3,2
input-S3-19.txt,S3,19,4,4,4,2,3,2
input-S3-20.txt,S3,20,4,4,4,2,4,2
