week,elAppWT,elScanWT,urScanWT,OT
0,103.900407,0.176774,1.692070,0.621910
1,101.777421,0.168395,3.908112,1.694623
2,113.070615,0.166629,1.752285,0.828134
3,118.805992,0.163118,2.423078,1.016835
4,110.709542,0.162828,1.582038,0.647049
5,118.254363,0.214377,1.414641,0.902828
6,119.750649,0.215221,2.541838,1.049660
7,111.645280,0.166226,1.890059,0.521147
8,112.514773,0.185506,2.159379,0.943934
9,108.245931,0.156920,2.129345,0.575757
10,99.016114,0.172142,2.431671,0.962958
11,103.911182,0.177622,2.018022,0.643893
12,103.552790,0.185008,2.313149,1.246096
13,99.133349,0.166788,2.397905,0.681886
14,97.788148,0.181204,2.143394,0.659288
15,95.521102,0.187360,2.134550,0.652529
16,98.939495,0.175469,2.901848,1.085000
17,93.742222,0.144897,1.562776,0.593790
18,84.576037,0.171896,2.023033,0.467137
19,91.746032,0.150338,2.588544,1.046593
20,94.355702,0.196638,2.108396,0.957189
21,86.805803,0.147795,2.460273,0.585721
22,85.040936,0.193887,2.341604,1.098352
23,81.145607,0.155342,1.763486,0.943777
24,87.270783,0.172365,2.096965,0.680425
25,85.163785,0.194262,1.539174,0.120489
26,79.830326,0.190013,2.345545,1.370381
27,80.767300,0.174990,2.384322,0.555815
28,83.007387,0.185924,1.434801,0.253156
29,87.699603,0.201921,1.900715,0.984190
30,89.701491,0.144197,1.870582,0.983105
31,92.094830,0.200650,2.513791,1.319806
32,96.074635,0.174743,2.224002,1.095296
33,107.056534,0.161225,2.131967,0.951328
34,101.811740,0.165459,2.380151,1.294003
35,100.589565,0.203418,2.200914,0.603252
36,99.157436,0.166523,1.752261,0.225477
37,98.397016,0.171375,1.928790,0.486407
38,98.706061,0.178057,1.629334,0.499704
39,95.880921,0.146190,2.101729,0.925055
40,100.648989,0.144427,0.958358,0.042163
41,86.185184,0.174566,2.243447,1.274347
42,86.103342,0.190646,2.234356,0.836481
43,74.823934,0.185436,2.146418,1.244439
44,75.445391,0.142351,1.840488,0.561779
45,84.473513,0.202119,2.080590,0.775287
46,81.299285,0.159893,1.657403,0.215327
47,77.719967,0.174875,1.404176,0.585982
48,78.184596,0.183068,1.397339,0.694756
49,78.434794,0.154188,2.438277,1.017773
50,65.177513,0.167545,2.389449,0.937777
51,78.048641,0.177459,2.095593,0.956621
52,70.429552,0.204547,2.320395,1.140891
53,85.156971,0.168400,2.063065,0.603051
54,79.798889,0.178831,1.831943,0.606692
55,75.660867,0.163231,1.808034,0.563061
56,76.415369,0.174050,2.618977,1.728424
57,79.162535,0.146375,1.654815,0.455060
58,88.337190,0.178075,3.037227,1.348462
59,94.547424,0.122041,1.403912,0.440500
60,97.905038,0.192097,1.698238,0.512842
61,102.070956,0.208092,2.608686,1.794913
62,126.532383,0.132833,1.673603,0.603268
63,133.370824,0.157716,1.945315,0.912945
64,112.402924,0.164266,2.717781,1.300718
65,111.850292,0.194950,2.435102,1.086752
66,111.212104,0.190924,2.031850,1.560885
67,87.099029,0.175318,1.492190,0.206487
68,96.290414,0.169174,1.953928,0.290043
69,108.337298,0.183723,1.831227,0.894876
70,105.726044,0.208356,2.363466,0.422961
71,109.335154,0.159805,1.991635,0.565406
72,94.393067,0.167340,1.761168,0.815719
73,94.112896,0.159047,2.189361,1.349184
74,90.009651,0.181815,2.393458,0.898754
75,79.911600,0.194876,1.306528,0.205660
76,77.354761,0.174216,2.518166,1.183248
77,86.427979,0.163287,1.796084,0.469377
78,95.717644,0.172975,2.235058,0.540655
79,99.045734,0.163705,1.947151,0.591022
80,95.159545,0.225410,1.795810,0.534544
81,96.785338,0.189259,2.069988,1.014595
82,96.826732,0.115506,1.244838,0.537548
83,103.268552,0.172670,1.319854,0.543321
84,96.051169,0.140760,2.380492,1.254676
85,89.452052,0.190655,1.583093,0.479486
86,81.124279,0.173953,1.715293,0.965009
87,71.291951,0.145568,2.144672,0.719798
88,64.571695,0.113664,1.437089,0.534166
89,66.819487,0.157368,2.269818,0.915591
90,76.843574,0.198954,2.334053,1.314863
91,81.623292,0.167901,1.618707,0.493863
92,84.567081,0.180624,2.070051,0.954399
93,87.868090,0.188659,2.731201,0.665076
94,81.602292,0.143144,2.891533,1.271621
95,81.305435,0.158076,2.745643,1.604520
96,81.648824,0.159722,2.337296,1.089559
97,81.085524,0.145232,2.478183,1.357925
98,87.831140,0.142069,1.616680,0.875527
99,94.015273,0.162504,1.881120,0.865880
100,109.134858,0.124646,1.813687,0.624068
101,112.914579,0.172557,1.242601,0.188005
102,119.281693,0.172856,1.789880,0.633408
103,111.856763,0.179464,2.089044,0.913520
104,97.911051,0.192223,1.805804,1.411720
105,85.757192,0.163403,1.301980,0.188099
106,89.612055,0.211157,2.460068,0.940307
107,96.462342,0.185218,2.510656,1.491331
108,101.040565,0.211545,1.921943,0.632328
109,84.997294,0.171215,1.908732,0.205501
110,73.886117,0.188278,1.604836,0.246040
111,64.805390,0.174238,1.679697,1.081435
112,63.361612,0.175488,2.451993,1.255456
113,67.328312,0.174593,2.000035,0.947124
