system_A,system_B,strategy_A,strategy_B,rule_A,rule_B,OV_mean_A,OV_mean_B,delta_OV,hw_bonferroni,lower,upper,df,ci_level_ind,significant,A_better,B_better
S2-FCFS,S2-Bailey-Welch,2,2,FCFS,Bailey-Welch,0.397605,0.394945,0.002661,0.000070,0.002590,0.002731,599,0.998214,True,False,True
S2-FCFS,S2-Blocking,2,2,FCFS,Blocking,0.397605,0.407675,-0.010069,0.000089,-0.010158,-0.009981,599,0.998214,True,True,False
S2-FCFS,S2-Benchmarking,2,2,FCFS,Benchmarking,0.397605,0.396257,0.001348,0.000046,0.001303,0.001394,599,0.998214,True,False,True
S2-FCFS,S3-FCFS,2,3,FCFS,FCFS,0.397605,0.404574,-0.006969,0.000495,-0.007464,-0.006474,599,0.998214,True,True,False
S2-FCFS,S3-Bailey-Welch,2,3,FCFS,Bailey-Welch,0.397605,0.401955,-0.004350,0.000495,-0.004845,-0.003854,599,0.998214,True,True,False
S2-FCFS,S3-Blocking,2,3,FCFS,Blocking,0.397605,0.406567,-0.008962,0.000496,-0.009458,-0.008466,599,0.998214,True,True,False
S2-FCFS,S3-Benchmarking,2,3,FCFS,Benchmarking,0.397605,0.403241,-0.005636,0.000494,-0.006130,-0.005142,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Blocking,2,2,Bailey-Welch,Blocking,0.394945,0.407675,-0.012730,0.000085,-0.012815,-0.012645,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Benchmarking,2,2,Bailey-Welch,Benchmarking,0.394945,0.396257,-0.001312,0.000078,-0.001390,-0.001234,599,0.998214,True,True,False
S2-Bailey-Welch,S3-FCFS,2,3,Bailey-Welch,FCFS,0.394945,0.404574,-0.009630,0.000495,-0.010125,-0.009135,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Bailey-Welch,2,3,Bailey-Welch,Bailey-Welch,0.394945,0.401955,-0.007010,0.000491,-0.007502,-0.006519,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Blocking,2,3,Bailey-Welch,Blocking,0.394945,0.406567,-0.011622,0.000494,-0.012116,-0.011129,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Benchmarking,2,3,Bailey-Welch,Benchmarking,0.394945,0.403241,-0.008296,0.000494,-0.008790,-0.007803,599,0.998214,True,True,False
S2-Blocking,S2-Benchmarking,2,2,Blocking,Benchmarking,0.407675,0.396257,0.011418,0.000093,0.011325,0.011511,599,0.998214,True,False,True
S2-Blocking,S3-FCFS,2,3,Blocking,FCFS,0.407675,0.404574,0.003100,0.000499,0.002601,0.003599,599,0.998214,True,False,True
S2-Blocking,S3-Bailey-Welch,2,3,Blocking,Bailey-Welch,0.407675,0.401955,0.005720,0.000495,0.005225,0.006214,599,0.998214,True,False,True
S2-Blocking,S3-Blocking,2,3,Blocking,Blocking,0.407675,0.406567,0.001107,0.000492,0.000616,0.001599,599,0.998214,True,False,True
S2-Blocking,S3-Benchmarking,2,3,Blocking,Benchmarking,0.407675,0.403241,0.004434,0.000497,0.003937,0.004931,599,0.998214,True,False,True
S2-Benchmarking,S3-FCFS,2,3,Benchmarking,FCFS,0.396257,0.404574,-0.008318,0.000499,-0.008817,-0.007819,599,0.998214,True,True,False
S2-Benchmarking,S3-Bailey-Welch,2,3,Benchmarking,Bailey-Welch,0.396257,0.401955,-0.005698,0.000499,-0.006197,-0.005199,599,0.998214,True,True,False
S2-Benchmarking,S3-Blocking,2,3,Benchmarking,Blocking,0.396257,0.406567,-0.010310,0.000499,-0.010809,-0.009811,599,0.998214,True,True,False
S2-Benchmarking,S3-Benchmarking,2,3,Benchmarking,Benchmarking,0.396257,0.403241,-0.006984,0.000495,-0.007479,-0.006489,599,0.998214,True,True,False
S3-FCFS,S3-Bailey-Welch,3,3,FCFS,Bailey-Welch,0.404574,0.401955,0.002619,0.000070,0.002550,0.002689,599,0.998214,True,False,True
S3-FCFS,S3-Blocking,3,3,FCFS,Blocking,0.404574,0.406567,-0.001993,0.000078,-0.002071,-0.001915,599,0.998214,True,True,False
S3-FCFS,S3-Benchmarking,3,3,FCFS,Benchmarking,0.404574,0.403241,0.001334,0.000044,0.001290,0.001377,599,0.998214,True,False,True
S3-Bailey-Welch,S3-Blocking,3,3,Bailey-Welch,Blocking,0.401955,0.406567,-0.004612,0.000066,-0.004678,-0.004546,599,0.998214,True,True,False
S3-Bailey-Welch,S3-Benchmarking,3,3,Bailey-Welch,Benchmarking,0.401955,0.403241,-0.001286,0.000076,-0.001361,-0.001210,599,0.998214,True,True,False
S3-Blocking,S3-Benchmarking,3,3,Blocking,Benchmarking,0.406567,0.403241,0.003326,0.000081,0.003245,0.003407,599,0.998214,True,False,True
