system_A,system_B,strategy_A,strategy_B,rule_A,rule_B,OV_mean_A,OV_mean_B,delta_OV,hw_bonferroni,lower,upper,df,ci_level_ind,significant,A_better,B_better
S2-FCFS,S2-Bailey-Welch,2,2,FCFS,Bailey-Welch,0.402628,0.399919,0.002710,0.000081,0.002628,0.002791,599,0.998214,True,False,True
S2-FCFS,S2-Blocking,2,2,FCFS,Blocking,0.402628,0.415187,-0.012559,0.000099,-0.012658,-0.012460,599,0.998214,True,True,False
S2-FCFS,S2-Benchmarking,2,2,FCFS,Benchmarking,0.402628,0.401267,0.001361,0.000053,0.001308,0.001414,599,0.998214,True,False,True
S2-FCFS,S3-FCFS,2,3,FCFS,FCFS,0.402628,0.405285,-0.002657,0.000441,-0.003098,-0.002216,599,0.998214,True,True,False
S2-FCFS,S3-Bailey-Welch,2,3,FCFS,Bailey-Welch,0.402628,0.403146,-0.000518,0.000443,-0.000961,-0.000075,599,0.998214,True,True,False
S2-FCFS,S3-Blocking,2,3,FCFS,Blocking,0.402628,0.407340,-0.004712,0.000446,-0.005158,-0.004267,599,0.998214,True,True,False
S2-FCFS,S3-Benchmarking,2,3,FCFS,Benchmarking,0.402628,0.403972,-0.001344,0.000443,-0.001786,-0.000901,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Blocking,2,2,Bailey-Welch,Blocking,0.399919,0.415187,-0.015268,0.000095,-0.015364,-0.015173,599,0.998214,True,True,False
S2-Bailey-Welch,S2-Benchmarking,2,2,Bailey-Welch,Benchmarking,0.399919,0.401267,-0.001349,0.000089,-0.001438,-0.001260,599,0.998214,True,True,False
S2-Bailey-Welch,S3-FCFS,2,3,Bailey-Welch,FCFS,0.399919,0.405285,-0.005366,0.000442,-0.005809,-0.004924,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Bailey-Welch,2,3,Bailey-Welch,Bailey-Welch,0.399919,0.403146,-0.003228,0.000438,-0.003666,-0.002789,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Blocking,2,3,Bailey-Welch,Blocking,0.399919,0.407340,-0.007422,0.000444,-0.007865,-0.006978,599,0.998214,True,True,False
S2-Bailey-Welch,S3-Benchmarking,2,3,Bailey-Welch,Benchmarking,0.399919,0.403972,-0.004053,0.000444,-0.004497,-0.003609,599,0.998214,True,True,False
S2-Blocking,S2-Benchmarking,2,2,Blocking,Benchmarking,0.415187,0.401267,0.013920,0.000105,0.013815,0.014024,599,0.998214,True,False,True
S2-Blocking,S3-FCFS,2,3,Blocking,FCFS,0.415187,0.405285,0.009902,0.000449,0.009453,0.010350,599,0.998214,True,False,True
S2-Blocking,S3-Bailey-Welch,2,3,Blocking,Bailey-Welch,0.415187,0.403146,0.012041,0.000444,0.011596,0.012485,599,0.998214,True,False,True
S2-Blocking,S3-Blocking,2,3,Blocking,Blocking,0.415187,0.407340,0.007847,0.000442,0.007405,0.008288,599,0.998214,True,False,True
S2-Blocking,S3-Benchmarking,2,3,Blocking,Benchmarking,0.415187,0.403972,0.011215,0.000450,0.010766,0.011665,599,0.998214,True,False,True
S2-Benchmarking,S3-FCFS,2,3,Benchmarking,FCFS,0.401267,0.405285,-0.004018,0.000445,-0.004463,-0.003573,599,0.998214,True,True,False
S2-Benchmarking,S3-Bailey-Welch,2,3,Benchmarking,Bailey-Welch,0.401267,0.403146,-0.001879,0.000446,-0.002326,-0.001433,599,0.998214,True,True,False
S2-Benchmarking,S3-Blocking,2,3,Benchmarking,Blocking,0.401267,0.407340,-0.006073,0.000448,-0.006521,-0.005625,599,0.998214,True,True,False
S2-Benchmarking,S3-Benchmarking,2,3,Benchmarking,Benchmarking,0.401267,0.403972,-0.002704,0.000442,-0.003146,-0.002262,599,0.998214,True,True,False
S3-FCFS,S3-Bailey-Welch,3,3,FCFS,Bailey-Welch,0.405285,0.403146,0.002139,0.000080,0.002058,0.002219,599,0.998214,True,False,True
S3-FCFS,S3-Blocking,3,3,FCFS,Blocking,0.405285,0.407340,-0.002055,0.000091,-0.002146,-0.001964,599,0.998214,True,True,False
S3-FCFS,S3-Benchmarking,3,3,FCFS,Benchmarking,0.405285,0.403972,0.001313,0.000052,0.001261,0.001366,599,0.998214,True,False,True
S3-Bailey-Welch,S3-Blocking,3,3,Bailey-Welch,Blocking,0.403146,0.407340,-0.004194,0.000074,-0.004268,-0.004119,599,0.998214,True,True,False
S3-Bailey-Welch,S3-Benchmarking,3,3,Bailey-Welch,Benchmarking,0.403146,0.403972,-0.000825,0.000090,-0.000916,-0.000735,599,0.998214,True,True,False
S3-Blocking,S3-Benchmarking,3,3,Blocking,Benchmarking,0.407340,0.403972,0.003369,0.000096,0.003273,0.003464,599,0.998214,True,False,True
