screening,design,strategy,slots,rule,mean_response,sd_response,n,mean_elAppWT,mean_urScanWT,mean_OT,mean_OV
screening_1,S2-12-rule2,2,12,2,0.39649807440006263,0.06994555282858787,3800,17.24802128236842,2.6444815294736843,1.0814267228947367,0.39649807440006263
screening_1,S2-12-rule1,2,12,1,0.39893018758876353,0.06980115323552893,3800,16.613410566842106,2.700367550789474,1.130904095,0.39893018758876353
screening_1,S2-10-rule2,2,10,2,0.4075981449420426,0.06422281053723088,3800,14.43910447868421,2.8948598502631575,1.109813505,0.4075981449420426
screening_1,S2-10-rule1,2,10,1,0.40993780277360065,0.0640831170669322,3800,13.810775930526317,2.949577228684211,1.157720044736842,0.40993780277360065
screening_1,S1-12-rule2,1,12,2,0.44327754993316626,0.07061750260409323,3800,17.74654938105263,3.0387899468421056,0.7732272097368421,0.44327754993316626
screening_1,S1-12-rule1,1,12,1,0.447443465226086,0.07059576377351587,3800,17.101970655526316,3.110814187631579,0.823549285,0.447443465226086
screening_1,S1-10-rule2,1,10,2,0.4537395111554929,0.06563979421449431,3800,14.89298909868421,3.2858168986842102,0.7956204563157895,0.4537395111554929
screening_1,S1-10-rule1,1,10,1,0.457921365127924,0.06570795961323983,3800,14.253604681842106,3.3577063210526314,0.8454065594736843,0.457921365127924
screening_2,S2-12-rule2,2,12,2,0.39649807440006263,0.06994555282858787,3800,17.24802128236842,2.6444815294736843,1.0814267228947367,0.39649807440006263
screening_2,S2-14-rule2,2,14,2,0.4014377181093358,0.08389788773004866,3800,22.795650071842104,2.391743923421053,1.052048047368421,0.4014377181093358
screening_2,S3-14-rule2,3,14,2,0.40484706738460735,0.08337143266372697,3800,22.644929329736843,2.430502392368421,1.1170414352631577,0.40484706738460735
screening_2,S2-12-rule3,2,12,3,0.40685436673454467,0.06972450394589523,3800,17.213801258421054,2.7395213760526316,1.1213078015789473,0.40685436673454467
screening_2,S3-12-rule2,3,12,2,0.40695164345969087,0.06876238840596112,3800,17.090817212105264,2.746985297631579,1.1646906031578947,0.40695164345969087
screening_2,S3-14-rule3,3,14,3,0.40902763905962825,0.08335030602241031,3800,22.570784083421053,2.472099604210526,1.1603332278947367,0.40902763905962825
screening_2,S3-12-rule3,3,12,3,0.4118443858427318,0.06884736738905789,3800,17.023567261578947,2.794622655,1.213101725263158,0.4118443858427318
screening_2,S2-14-rule3,2,14,3,0.41657176182278616,0.08366972024106807,3800,22.741841970789473,2.5308328936842104,1.0954017213157896,0.41657176182278616
screening_3,S2-14-rule2,2,14,2,0.4014377181093358,0.08389788773004866,3800,22.795650071842104,2.391743923421053,1.052048047368421,0.4014377181093358
screening_3,S3-14-rule2,3,14,2,0.40484706738460735,0.08337143266372697,3800,22.644929329736843,2.430502392368421,1.1170414352631577,0.40484706738460735
screening_3,S3-14-rule3,3,14,3,0.40902763905962825,0.08335030602241031,3800,22.570784083421053,2.472099604210526,1.1603332278947367,0.40902763905962825
screening_3,S2-14-rule3,2,14,3,0.41657176182278616,0.08366972024106807,3800,22.741841970789473,2.5308328936842104,1.0954017213157896,0.41657176182278616
screening_3,S3-16-rule2,3,16,2,0.4419297594783835,0.1297670969523429,3800,37.100415004999995,1.9898456028947369,0.7232473357894736,0.4419297594783835
screening_3,S3-16-rule3,3,16,3,0.4467304965006266,0.1299197017945715,3800,37.061177574210525,2.0351542413157895,0.7673076939473684,0.4467304965006266
screening_3,S2-16-rule2,2,16,2,0.45648299432957395,0.13063234445981464,3800,37.17128651684211,2.1170280284210525,0.8634313728947368,0.45648299432957395
screening_3,S2-16-rule3,2,16,3,0.47215080074718047,0.13064646123314347,3800,37.15193448131579,2.259075002368421,0.9071966371052631,0.47215080074718047
screening_4,S2-12-rule2,2,12,2,0.39649807440006263,0.06994555282858787,3800,17.24802128236842,2.6444815294736843,1.0814267228947367,0.39649807440006263
screening_4,S2-12-rule4,2,12,4,0.3976684417632623,0.06985484261392884,3800,16.686575209210528,2.685092303947368,1.119067367631579,0.3976684417632623
screening_4,S2-14-rule2,2,14,2,0.4014377181093358,0.08389788773004866,3800,22.795650071842104,2.391743923421053,1.052048047368421,0.4014377181093358
screening_4,S2-14-rule4,2,14,4,0.4027218078524436,0.08384969178259417,3800,22.224449719210526,2.4339007500000003,1.0915723807894737,0.4027218078524436
screening_4,S3-14-rule2,3,14,2,0.40484706738460735,0.08337143266372697,3800,22.644929329736843,2.430502392368421,1.1170414352631577,0.40484706738460735
screening_4,S3-14-rule4,3,14,4,0.40577024422044694,0.08320292525358468,3800,22.092770404473686,2.4683909263157893,1.1561179105263157,0.40577024422044694
screening_4,S3-12-rule2,3,12,2,0.40695164345969087,0.06876238840596112,3800,17.090817212105264,2.746985297631579,1.1646906031578947,0.40695164345969087
screening_4,S3-12-rule4,3,12,4,0.40860515566102756,0.06863104763732447,3800,16.542106346842104,2.7912621323684212,1.2096386476315788,0.40860515566102756
