screening,low_strategy,high_strategy,low_rule,high_rule,low_slots,high_slots,term,meaning,beta,se_beta,ci_low_beta,ci_high_beta,effect_high_minus_low,ci_low_effect,ci_high_effect,significant,df_resid,n_obs,mse
screening_1,1,2,1,2,10,12,Intercept,Grand mean,0.4269182626433922,0.000387895112217954,0.42615797191502547,0.427678553371759,,,,False,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,S_code,S: strategy high vs low,-0.023677210217273637,0.000387895112217954,-0.02443750094564038,-0.022916919488906895,-0.047354420434547274,-0.04887500189128076,-0.04583383897781379,True,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,R_code,R: rule high vs low,-0.0016399425357012437,0.000387895112217954,-0.0024002332640679844,-0.0008796518073345029,-0.0032798850714024874,-0.004800466528135969,-0.0017593036146690058,True,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,N_code,N: urgent slots high vs low,-0.005380943356372615,0.000387895112217954,-0.006141234084739355,-0.004620652628005874,-0.01076188671274523,-0.01228246816947871,-0.009241305256011748,True,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,S_R,S*R interaction,0.000446999780636416,0.000387895112217954,-0.0003132909477303248,0.0012072905090031566,0.000893999561272832,-0.0006265818954606496,0.0024145810180063133,False,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,S_N,S*N interaction,-0.00014597807533159164,0.000387895112217954,-0.0009062688036983324,0.0006143126530351492,-0.00029195615066318327,-0.0018125376073966648,0.0012286253060702983,False,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,R_N,R*N interaction,-9.564584703959634e-06,0.000387895112217954,-0.0007698553130707004,0.0007507261436627812,-1.9129169407919268e-05,-0.0015397106261414008,0.0015014522873255623,False,30392,30400,0.004574063589710404
screening_1,1,2,1,2,10,12,S_R_N,S*R*N interaction,-1.3549254581716433e-05,0.000387895112217954,-0.0007738399829484572,0.0007467414737850243,-2.7098509163432865e-05,-0.0015476799658969145,0.0014934829475700487,False,30392,30400,0.004574063589710404
screening_2,2,3,2,3,12,14,Intercept,Grand mean,0.40675408210167324,0.00044035562321939213,0.4058909665661268,0.4076171976372197,,,,False,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,S_code,S: strategy high vs low,0.0014136018349910425,0.00044035562321939213,0.0005504862994445615,0.0022767173705375236,0.002827203669982085,0.001100972598889123,0.004553434741075047,True,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,R_code,R: rule high vs low,0.00432045626324922,0.00044035562321939213,0.0034573407277027385,0.0051835717987957,0.00864091252649844,0.006914681455405477,0.0103671435975914,True,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,N_code,N: urgent slots high vs low,0.0012169644924159247,0.00044035562321939213,0.00035384895686944374,0.0020800800279624056,0.0024339289848318495,0.0007076979137388875,0.004160160055924811,True,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,S_R,S*R interaction,-0.0020521277487337863,0.00044035562321939213,-0.0029152432842802674,-0.0011890122131873052,-0.004104255497467573,-0.005830486568560535,-0.0023780244263746104,True,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,S_N,S*N interaction,-0.002447295206963242,0.00044035562321939213,-0.003310410742509723,-0.001584179671416761,-0.004894590413926484,-0.006620821485019446,-0.003168359342833522,True,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,R_N,R*N interaction,0.0005081975838685067,0.00044035562321939213,-0.00035491795167797433,0.0013713131194149878,0.0010163951677370133,-0.0007098359033559487,0.0027426262388299755,False,30392,30400,0.005894957476988554
screening_2,2,3,2,3,12,14,S_R_N,S*R*N interaction,-0.0006862402608735984,0.00044035562321939213,-0.0015493557964200793,0.00017687527467288259,-0.0013724805217471968,-0.0030987115928401586,0.00035375054934576517,False,30392,30400,0.005894957476988554
screening_3,2,3,2,3,14,16,Intercept,Grand mean,0.431147279679015,0.0006275916089781338,0.4299171737393487,0.43237738561868133,,,,False,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,S_code,S: strategy high vs low,-0.0055135390732036,0.0006275916089781338,-0.006743645012869923,-0.004283433133537276,-0.0110270781464072,-0.013487290025739847,-0.008566866267074553,True,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,R_code,R: rule high vs low,0.004972894853540096,0.0006275916089781338,0.0037427889138737726,0.006203000793206419,0.009945789707080191,0.007485577827747545,0.012406001586412838,True,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,N_code,N: urgent slots high vs low,0.023176233084925467,0.0006275916089781338,0.021946127145259144,0.02440633902459179,0.046352466169850934,0.04389225429051829,0.04881267804918358,True,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,S_R,S*R interaction,-0.0027275676792240166,0.0006275916089781338,-0.00395767361889034,-0.0014974617395576936,-0.005455135358448033,-0.00791534723778068,-0.002994923479115387,True,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,S_N,S*N interaction,-0.004479845701233209,0.0006275916089781338,-0.005709951640899533,-0.003249739761566886,-0.008959691402466418,-0.011419903281799065,-0.006499479523133772,True,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,R_N,R*N interaction,0.0001442410064221508,0.0006275916089781338,-0.0010858649332441722,0.0013743469460884739,0.0002884820128443016,-0.0021717298664883445,0.0027486938921769477,False,30392,30400,0.01197368532085679
screening_3,2,3,2,3,14,16,S_R_N,S*R*N interaction,1.0800330383198398e-05,0.0006275916089781338,-0.0012193056092831246,0.0012409062700495215,2.1600660766396795e-05,-0.002438611218566249,0.002481812540099043,False,30392,30400,0.01197368532085679
screening_4,2,3,2,4,12,14,Intercept,Grand mean,0.4030625191063593,0.00044032786775579145,0.4021994579726884,0.4039255802400302,,,,False,30392,30400,0.005894214386119798
screening_4,2,3,2,4,12,14,S_code,S: strategy high vs low,0.003481008575083348,0.00044032786775579145,0.0026179474414124576,0.004344069708754238,0.006962017150166696,0.005235894882824915,0.008688139417508477,True,30392,30400,0.005894214386119798
screening_4,2,3,2,4,12,14,R_code,R: rule high vs low,0.0006288932679354633,0.00044032786775579145,-0.000234167865735427,0.0014919544016063534,0.0012577865358709265,-0.000468335731470854,0.002983908803212707,False,30392,30400,0.005894214386119798
screening_4,2,3,2,4,12,14,N_code,N: urgent slots high vs low,0.0006316902853487827,0.00044032786775579145,-0.0002313708483221076,0.001494751419019673,0.0012633805706975653,-0.0004627416966442152,0.002989502838039346,False,30392,30400,0.005894214386119798
screening_4,2,3,2,4,12,14,S_R,S*R interaction,1.527899135860686e-05,0.00044032786775579145,-0.0008477821423122834,0.0008783401250294971,3.055798271721372e-05,-0.0016955642846245669,0.0017566802500589942,False,30392,30400,0.005894214386119798
screening_4,2,3,2,4,12,14,S_N,S*N interaction,-0.0018665621642652308,0.00044032786775579145,-0.002729623297936121,-0.0010035010305943404,-0.0037331243285304615,-0.005459246595872242,-0.0020070020611886808,True,30392,30400,0.005894214386119798
