screening,low_strategy,high_strategy,low_rule,high_rule,low_slots,high_slots,term,meaning,beta,se_beta,ci_low_beta,ci_high_beta,effect_high_minus_low,ci_low_effect,ci_high_effect,significant,df_resid,n_obs,mse
screening_1,1,2,1,2,10,12,Intercept,Grand mean,0.42503019869856623,0.0011350590660990049,0.42280488736607125,0.4272555100310612,,,,False,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,S_code,S: strategy high vs low,-0.02445688128345257,0.0011350590660990049,-0.02668219261594755,-0.02223156995095759,-0.04891376256690514,-0.0533643852318951,-0.04446313990191518,True,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,R_code,R: rule high vs low,-0.0016385161962115084,0.0011350590660990049,-0.0038638275287064872,0.0005867951362834704,-0.003277032392423017,-0.0077276550574129745,0.0011735902725669408,False,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,N_code,N: urgent slots high vs low,-0.0050756651949732425,0.001135059066099005,-0.007300976527468222,-0.002850353862478263,-0.010151330389946485,-0.014601953054936443,-0.005700707724956526,True,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,S_R,S*R interaction,0.00040550509201309166,0.0011350590660990049,-0.0018198062404818872,0.0026308164245080704,0.0008110101840261833,-0.0036396124809637744,0.005261632849016141,False,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,S_N,S*N interaction,-0.0006973358081923853,0.001135059066099005,-0.0029226471406873645,0.001527975524302594,-0.0013946716163847706,-0.005845294281374729,0.003055951048605188,False,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,R_N,R*N interaction,-4.269170851893102e-06,0.001135059066099005,-0.0022295805033468725,0.002221042161643086,-8.538341703786204e-06,-0.004459161006693745,0.004442084323286172,False,4232,4240,0.004605032920464053
screening_1,1,2,1,2,10,12,S_R_N,S*R*N interaction,-3.9262472161105676e-05,0.001135059066099005,-0.002264573804656085,0.0021860488603338735,-7.852494432221135e-05,-0.00452914760931217,0.004372097720667747,False,4232,4240,0.004605032920464053
screening_2,2,3,2,3,12,14,Intercept,Grand mean,0.40419221406991984,0.000908738285689163,0.4024108357607598,0.4059735923790799,,,,False,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,S_code,S: strategy high vs low,0.0013813172661462205,0.000908738285689163,-0.0004000610430138045,0.0031626955753062454,0.002762634532292441,-0.000800122086027609,0.006325391150612491,False,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,R_code,R: rule high vs low,0.004249619155782138,0.000908738285689163,0.0024682408466221127,0.006030997464942163,0.008499238311564275,0.004936481693244225,0.012061994929884325,True,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,N_code,N: urgent slots high vs low,0.001358482123464367,0.0009087382856891632,-0.00042289618569565815,0.0031398604326243924,0.002716964246928734,-0.0008457923713913163,0.006279720865248785,False,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,S_R,S*R interaction,-0.0020536607526784184,0.000908738285689163,-0.0038350390618384434,-0.00027228244351839345,-0.004107321505356837,-0.007670078123676887,-0.0005445648870367869,True,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,S_N,S*N interaction,-0.0027746501479195824,0.0009087382856891632,-0.004556028457079608,-0.0009932718387595572,-0.005549300295839165,-0.009112056914159216,-0.0019865436775191145,True,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,R_N,R*N interaction,0.0005050894991165834,0.0009087382856891632,-0.0012762888100434418,0.0022864678082766083,0.0010101789982331667,-0.0025525776200868836,0.004572935616553217,False,7592,7600,0.005969442066353317
screening_2,2,3,2,3,12,14,S_R_N,S*R*N interaction,-0.0006441995416906751,0.0009087382856891632,-0.0024255778508507,0.0011371787674693502,-0.0012883990833813502,-0.0048511557017014,0.0022743575349387004,False,7592,7600,0.005969442066353317
screening_3,2,3,2,3,14,16,Intercept,Grand mean,0.43484159662919225,0.0010478048803684585,0.4327878179303971,0.4368953753279874,,,,False,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,S_code,S: strategy high vs low,-0.005758599594698586,0.0010478048803684585,-0.007812378293493717,-0.003704820895903455,-0.011517199189397172,-0.015624756586987434,-0.00740964179180691,True,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,R_code,R: rule high vs low,0.004931144661655271,0.0010478048803684585,0.0028773659628601395,0.006984923360450402,0.009862289323310541,0.005754731925720279,0.013969846720900804,True,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,N_code,N: urgent slots high vs low,0.02929090043581183,0.0010478048803684585,0.027237121737016697,0.03134467913460696,0.05858180087162366,0.054474243474033394,0.06268935826921392,True,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,S_R,S*R interaction,-0.002694179000949356,0.0010478048803684585,-0.004747957699744487,-0.000640400302154225,-0.005388358001898712,-0.009495915399488974,-0.00128080060430845,True,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,S_N,S*N interaction,-0.00436526671292455,0.0010478048803684585,-0.006419045411719681,-0.0023114880141294186,-0.0087305334258491,-0.012838090823439362,-0.004622976028258837,True,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,R_N,R*N interaction,0.00017643600675653959,0.0010478048803684585,-0.0018773426920385915,0.002230214705551671,0.00035287201351307917,-0.003754685384077183,0.004460429411103342,False,20912,20920,0.01585738337850823
screening_3,2,3,2,3,14,16,S_R_N,S*R*N interaction,3.681293420097296e-06,0.0010478048803684585,-0.0020500974053750337,0.0020574599922152286,7.362586840194592e-06,-0.0041001948107500675,0.004114919984430457,False,20912,20920,0.01585738337850823
screening_4,2,3,2,4,12,14,Intercept,Grand mean,0.4005494945309669,0.0009085879862115622,0.39876841085034126,0.4023305782115925,,,,False,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,S_code,S: strategy high vs low,0.0034356958845602925,0.0009085879862115622,0.0016546122039346792,0.005216779565185906,0.006871391769120585,0.0033092244078693584,0.010433559130371813,True,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,R_code,R: rule high vs low,0.0006068996168293448,0.0009085879862115622,-0.0011741840637962686,0.002387983297454958,0.0012137992336586896,-0.002348368127592537,0.004775966594909916,False,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,N_code,N: urgent slots high vs low,0.000775758735573299,0.0009085879862115624,-0.0010053249450523148,0.0025568424161989127,0.001551517471146598,-0.0020106498901046295,0.005113684832397825,False,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,S_R,S*R interaction,7.178657355716252e-07,0.0009085879862115622,-0.0017803658148900416,0.001781801546361185,1.4357314711432504e-06,-0.0035607316297800833,0.00356360309272237,False,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,S_N,S*N interaction,-0.0022082045330447863,0.0009085879862115624,-0.0039892882136704,-0.0004271208524191726,-0.004416409066089573,-0.0079785764273408,-0.0008542417048383452,True,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,R_N,R*N interaction,-7.763388877448208e-05,0.0009085879862115624,-0.0018587175694000958,0.0017034497918511316,-0.00015526777754896416,-0.0037174351388001917,0.0034068995837022633,False,7592,7600,0.005967467614869591
screening_4,2,3,2,4,12,14,S_R_N,S*R*N interaction,-7.775392681589253e-05,0.0009085879862115624,-0.0018588376074415063,0.0017033297538097212,-0.00015550785363178506,-0.0037176752148830126,0.0034066595076194424,False,7592,7600,0.005967467614869591
